China,#genre#
北京新闻广播,http://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8
北京新闻广播,http://cnlive.cnr.cn/hls/bjxwgb.m3u8
北京新闻广播,http://ls.qingting.fm/live/339.m3u8
北京交通广播,http://cnlive.cnr.cn/hls/bjjtgb.m3u8
北京交通广播,http://ls.qingting.fm/live/336.m3u8
北京城市广播,https://brtv-radiolive.rbc.cn/alive/fm1073.m3u8
北京音乐广播,http://cnlive.cnr.cn/hls/bjyygb.m3u8
北京音乐广播,https://brtv-radiolive.rbc.cn/alive/fm974.m3u8
京津冀之声,https://brtv-radiolive.rbc.cn/alive/fm1006.m3u8
上海新闻QT,http://ls.qingting.fm/live/270.m3u8
上海交通QT,http://ls.qingting.fm/live/226.m3u8

HKTW,#genre#
台北電台FM93.1,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/fm/playlist.m3u8
台北電台AM1134,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/am/playlist.m3u8
BCC中廣新聞,http://stream.rcs.revma.com/78fm9wyy2tzuv
BCC中廣流行,http://stream.rcs.revma.com/aw9uqyxy2tzuv
BCC中廣音樂,http://stream.rcs.revma.com/ks4vsmg3qtzuv
AsiaFM亚洲电台,http://stream.rcs.revma.com/xpgtqc74hv8uv
AsiaFM亚太电台,http://stream.rcs.revma.com/kydend74hv8uv
FlyRadio飞扬调频,http://stream.rcs.revma.com/e0tdah74hv8uv
M-Radio全國廣播,http://stream.rcs.revma.com/044q61ha7a0uv/hls.m3u8
飛碟聯播,http://stream.rcs.revma.com/em90w4aeewzuv
News98新聞,http://stream.rcs.revma.com/55tyxsy4qtzuv
环宇广播,http://n10.rcs.revma.com/srn5f9kmwxhvv
CityFM城市广播,http://fm929.cityfm.tw:8080/929.mp3
CityFM台北健康,http://fm901.cityfm.tw:8080/901.mp3
CityFM台南之音,http://fm971.cityfm.tw:8080/971.mp3
CityFM大苗栗广播,http://fm983.cityfm.tw:8080/983.mp3
正义电台,http://211.20.119.103:8081
太阳电台,http://211.20.119.102:8081
全国治安交通台,http://stream.pbs.gov.tw:1935/live/PBS/playlist.m3u8
RTI台湾中央,https://streamak0138.akamaized.net/live0138lh-mbm9/_definst_/rti3/chunklist.m3u8
古典音樂台,http://onair.family977.com.tw:8000/live.mp3
古典音樂台 [備],http://59.120.88.155:8000/live.mp3
BravoFM台北都会音乐,https://onair.bravo913.com.tw:9130/live.mp3
世新SHRS,https://stream.ginnet.cloud/live0115lo-89xv/_definst_/am729/playlist.m3u8
世新SHRS [備],https://stream.ginnet.cloud/live0115lo-89xv/_definst_/am729/chunklist_w751555742.m3u8
幸福電台,https://live.tr-radio.com/live/live/playlist.m3u8
幸福電台 [備],https://live.tr-radio.com/live/live/chunklist_w1347304745.m3u8
CAPITAL 958,https://19183.live.streamtheworld.com/CAPITAL958FM_PREM.aac
988友声有色,http://23023.live.streamtheworld.com/988_FMAAC.aac
MY,https://astro1.rastream.com/myfm
one FM,https://mediaprima.rastream.com/mediaprima-onefm
好FM,https://22283.live.streamtheworld.com/HAO_963AAC.aac
YES 933,https://22393.live.streamtheworld.com/YES933_PREM.aac
LOVE 972,https://14033.live.streamtheworld.com/LOVE972FM_PREM.aac
UFM 1003,https://22283.live.streamtheworld.com/UFM_1003AAC.aac
国立教育,https://cast.ner.gov.tw/1?_t=1628097047202
国立教育【2】,http://wowza.ner.gov.tw/live/_definst_/1/playlist.m3u8
国立教育台北FM,https://cast.ner.gov.tw/1
国立教育台北AM,https://cast.ner.gov.tw/2
RTHK普通話 [FQ],http://rthkaudio6-lh.akamaihd.net/i/radiopth_1@355869/master.m3u8

World,#genre#
RFI中文_64k,https://rfienchinois64k.ice.infomaniak.ch/rfienchinois-64.mp3
RFI中文_96k,http://rfichinois96k.ice.infomaniak.ch/rfichinois-96k.mp3
RFI中文 [備.FQ],http://live02.rfi.fr/rfienchinois-64.mp3
鳳凰優悅,http://uradio-streamer0.ifengus.com:8000/ulive.mp3
VOA,https://voa-ingest.akamaized.net/hls/live/2035206/151_124L/playlist.m3u8
VOA [FQ],http://stream.radiojar.com/7thwu53r92quv
VOA [備.FQ],https://n01.radiojar.com/7thwu53r92quv
VOA [備2.FQ],http://voa-11.akacast.akamaistream.net/7/317/322023/v1/ibb.akacast.akamaistream.net/voa-11.mp3
RFA自由,https://rfa-ingest.akamaized.net/hls/live/2040699/RFA_AUDIO_LIVE1/master.m3u8
RFA自由 [FQ],https://rfahls-i.akamaihd.net/hls/live/226232/RFALive_1/index.m3u8
SOF希望 [FQ],http://radio.soundofhope.org:8880/SOH_64K
SOF希望 [備.FQ],http://livecast2.soundofhope.org/soh-live

Korea,#genre#
YTN뉴스,http://slive.ytn.co.kr:1935/live/fmlive_0624_1.sdp/playlist.m3u8
Arirang,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_3ch/arirang_3ch_audio/playlist.m3u8
CBS표준FM,http://aac.cbs.co.kr/cbs981/_definst_/cbs981.stream/playlist.m3u8
CBS음악FM,http://aac.cbs.co.kr/cbs939/_definst_/cbs939.stream/playlist.m3u8
